expiry,calls_valid,calls_otm,puts_valid,puts_otm,selected_calls,selected_puts,selected_total
2026-04-20,84,51,112,70,0,0,0
2026-05-22,85,51,102,66,0,0,0
2026-06-30,180,75,159,110,19,45,64
2026-07-31,122,69,119,54,41,29,70
2026-08-31,116,67,107,55,23,21,44
2026-09-30,118,44,119,75,26,33,59
2026-12-18,41,19,41,22,19,22,41
2027-03-19,41,19,41,22,19,19,38
2027-06-17,41,19,41,22,15,17,32
2027-09-17,36,19,31,22,0,0,0
