expiry,tau,option_type,strike,bid,ask,mid,spread
2026-06-30,0.2821917808219178,put,575.0,8.612999811172486,8.786999807357788,8.699999809265137,0.17399999618530274
2026-06-30,0.2821917808219178,put,578.0,9.078300075531006,9.261700077056885,9.170000076293945,0.1834000015258789
2026-06-30,0.2821917808219178,put,580.0,8.682300453186036,8.857700462341308,8.770000457763672,0.17540000915527343
2026-06-30,0.2821917808219178,put,585.0,10.563300075531005,10.776700077056885,10.670000076293945,0.2134000015258789
2026-06-30,0.2821917808219178,put,590.0,9.969299697875977,10.17069969177246,10.069999694824219,0.20139999389648439
2026-06-30,0.2821917808219178,put,595.0,10.721699924468995,10.938299922943115,10.829999923706055,0.2165999984741211
2026-06-30,0.2821917808219178,put,597.0,11.90969973564148,12.150299730300903,12.029999732971191,0.24059999465942383
2026-06-30,0.2821917808219178,put,599.0,11.305800075531005,11.534200077056886,11.420000076293945,0.22840000152587892
2026-06-30,0.2821917808219178,put,600.0,11.335499811172486,11.564499807357787,11.449999809265137,0.22899999618530273
2026-06-30,0.2821917808219178,put,601.0,13.58280026435852,13.857200269699097,13.720000267028809,0.2744000053405762
2026-06-30,0.2821917808219178,put,605.0,13.662000188827514,13.938000192642212,13.800000190734863,0.27600000381469725
2026-06-30,0.2821917808219178,put,608.0,14.00849962234497,14.291499614715576,14.149999618530273,0.28299999237060547
2026-06-30,0.2821917808219178,put,610.0,13.404599962234498,13.675399961471557,13.539999961853027,0.27079999923706055
2026-06-30,0.2821917808219178,put,611.0,14.355,14.645,14.5,0.29
2026-06-30,0.2821917808219178,put,612.0,13.533300075531006,13.806700077056885,13.670000076293945,0.2734000015258789
2026-06-30,0.2821917808219178,put,613.0,14.810400037765502,15.109600038528443,14.960000038146973,0.29920000076293946
2026-06-30,0.2821917808219178,put,615.0,14.038200302124023,14.32180030822754,14.180000305175781,0.28360000610351566
2026-06-30,0.2821917808219178,put,616.0,15.31530026435852,15.624700269699098,15.470000267028809,0.30940000534057616
2026-06-30,0.2821917808219178,put,620.0,15.008399848937989,15.31159984588623,15.15999984741211,0.3031999969482422
2026-06-30,0.2821917808219178,put,621.0,16.38449924468994,16.715499229431153,16.549999237060547,0.33099998474121095
2026-06-30,0.2821917808219178,put,623.0,16.79039909362793,17.129599075317383,16.959999084472656,0.33919998168945314
2026-06-30,0.2821917808219178,put,624.0,17.216099395751954,17.56389938354492,17.389999389648438,0.3477999877929688
2026-06-30,0.2821917808219178,put,625.0,15.523200302124023,15.83680030822754,15.680000305175781,0.3136000061035156
2026-06-30,0.2821917808219178,put,627.0,19.196099395751954,19.58389938354492,19.389999389648438,0.38779998779296876
2026-06-30,0.2821917808219178,put,628.0,18.295199546813965,18.66479953765869,18.479999542236328,0.36959999084472656
2026-06-30,0.2821917808219178,put,629.0,18.05759977340698,18.422399768829347,18.239999771118164,0.3647999954223633
2026-06-30,0.2821917808219178,put,630.0,17.23589984893799,17.58409984588623,17.40999984741211,0.3481999969482422
2026-06-30,0.2821917808219178,put,632.0,17.255700302124023,17.60430030822754,17.43000030517578,0.34860000610351566
2026-06-30,0.2821917808219178,put,633.0,18.84960090637207,19.230400924682616,19.040000915527344,0.3808000183105469
2026-06-30,0.2821917808219178,put,635.0,19.918800830841064,20.321200847625732,20.1200008392334,0.40240001678466797
2026-06-30,0.2821917808219178,put,636.0,19.29509977340698,19.684899768829347,19.489999771118164,0.38979999542236327
2026-06-30,0.2821917808219178,put,639.0,21.29490022659302,21.725100231170654,21.510000228881836,0.43020000457763674
2026-06-30,0.2821917808219178,put,640.0,19.621799697875975,20.018199691772463,19.81999969482422,0.3963999938964844
2026-06-30,0.2821917808219178,put,641.0,19.621799697875975,20.018199691772463,19.81999969482422,0.3963999938964844
2026-06-30,0.2821917808219178,put,642.0,20.14650037765503,20.553500385284423,20.350000381469727,0.40700000762939453
2026-06-30,0.2821917808219178,put,644.0,22.997699546813966,23.46229953765869,23.229999542236328,0.4645999908447266
2026-06-30,0.2821917808219178,put,645.0,22.0275,22.4725,22.25,0.445
2026-06-30,0.2821917808219178,put,650.0,22.77,23.23,23.0,0.46
2026-06-30,0.2821917808219178,put,655.0,24.076799697875977,24.56319969177246,24.31999969482422,0.48639999389648436
2026-06-30,0.2821917808219178,call,660.0,30.04650037765503,30.653500385284424,30.350000381469727,0.6070000076293945
2026-06-30,0.2821917808219178,call,665.0,26.621099395751955,27.15889938354492,26.889999389648438,0.5377999877929688
2026-06-30,0.2821917808219178,call,670.0,23.46300075531006,23.937000770568847,23.700000762939453,0.4740000152587891
2026-06-30,0.2821917808219178,call,675.0,21.007799320220947,21.432199306488037,21.219999313354492,0.42439998626708986
2026-06-30,0.2821917808219178,call,680.0,18.265500755310057,18.63450077056885,18.450000762939453,0.36900001525878906
2026-06-30,0.2821917808219178,call,685.0,15.701399660110473,16.018599653244017,15.859999656677246,0.3171999931335449
2026-06-30,0.2821917808219178,call,690.0,13.246200113296508,13.513800115585328,13.380000114440918,0.26760000228881836
2026-06-30,0.2821917808219178,call,695.0,11.276100339889526,11.503900346755982,11.390000343322754,0.22780000686645507
2026-06-30,0.2821917808219178,call,700.0,9.088200302124024,9.271800308227538,9.180000305175781,0.18360000610351562
2026-06-30,0.2821917808219178,call,705.0,7.523999905586242,7.675999903678894,7.599999904632568,0.15199999809265138
2026-06-30,0.2821917808219178,call,710.0,6.038999905586243,6.160999903678894,6.099999904632568,0.12199999809265137
2026-06-30,0.2821917808219178,call,715.0,4.8410998678207395,4.938899865150452,4.889999866485596,0.09779999732971191
2026-06-30,0.2821917808219178,call,720.0,3.831299886703491,3.908699884414673,3.869999885559082,0.07739999771118164
2026-06-30,0.2821917808219178,call,725.0,2.9897999811172484,3.050199980735779,3.0199999809265137,0.06039999961853027
2026-07-31,0.36712328767123287,put,575.0,10.692000188827514,10.908000192642213,10.800000190734863,0.21600000381469728
2026-07-31,0.36712328767123287,put,580.0,11.10780026435852,11.332200269699097,11.220000267028809,0.22440000534057616
2026-07-31,0.36712328767123287,put,585.0,12.513600339889527,12.766400346755981,12.640000343322754,0.2528000068664551
2026-07-31,0.36712328767123287,put,590.0,12.77099962234497,13.028999614715577,12.899999618530273,0.25799999237060545
2026-07-31,0.36712328767123287,put,595.0,15.503399848937988,15.81659984588623,15.65999984741211,0.3131999969482422
