method,mse_resid,mean_resid,std_resid,n_steps_used
Bates delta (MC FD),0.15111202996693496,-0.07878464332895409,0.380663906802923,13
BS delta,0.48308533019681243,0.38557940526995566,0.5782852690744247,13
Classical LSTM,3.3266392779349014,1.310178785590149,1.2688856637713357,13
Augmented LSTM,3.6268805132059923,-1.254656049677858,1.4327312065466937,13
