method,mse_resid,mean_resid,std_resid,avg_tc_per_step,n_steps_used,tc_per_unit,liq_step_cap
BS delta,2.3121484149629894,-0.10386351080012061,1.5170236603584215,0.0008452495617021372,90,0.02,0.35
Bates delta (MC FD),2.616642028484801,-0.1666933300790903,1.6089920329796366,0.0005440267849752644,90,0.02,0.35
Classical LSTM,3.5687778648406336,-0.12398478730618974,1.8850479138094267,0.0001871928373972575,90,0.02,0.35
Augmented LSTM,5.709071233635582,0.07355639434564845,2.3882338014705446,9.963865743743049e-05,90,0.02,0.35
